Date,brent_crude,cac40,dax,euronext100,ftse100,ngh,rotterdam_coal,eu_ets
2006-09-01,70.49,5183.4502,3945.3701,889.84,5949.1001,5.877,67.5,15.6
2006-09-01,70.49,5183.4502,3945.3701,889.84,5949.1001,5.877,67.5,26.1
2006-09-01,70.49,5183.4502,3945.3701,889.84,5949.1001,5.877,67.5,22.9
2006-09-01,70.49,5183.4502,3945.3701,889.84,5949.1001,5.877,67.5,13.7
2006-09-01,70.49,5183.4502,3945.3701,889.84,5949.1001,5.877,67.5,12.4
2006-09-01,70.49,5183.4502,3945.3701,889.84,5949.1001,5.877,67.5,25.65
2006-09-01,70.49,5183.4502,3945.3701,889.84,5949.1001,5.877,67.5,9.5
2006-09-01,70.49,5183.4502,3945.3701,889.84,5949.1001,5.877,67.5,11.9
2006-11-01,56.37,5370.8599,4224.23,926.64,6149.6001,7.712,68.25,22.75
2006-11-01,56.37,5370.8599,4224.23,926.64,6149.6001,7.712,68.25,7.05
2006-11-01,56.37,5370.8599,4224.23,926.64,6149.6001,7.712,68.25,16.35
2006-11-01,56.37,5370.8599,4224.23,926.64,6149.6001,7.712,68.25,12.5
2006-11-01,56.37,5370.8599,4224.23,926.64,6149.6001,7.712,68.25,28.85
2006-11-01,56.37,5370.8599,4224.23,926.64,6149.6001,7.712,68.25,16.15
2006-11-01,56.37,5370.8599,4224.23,926.64,6149.6001,7.712,68.25,12.6
2006-11-01,56.37,5370.8599,4224.23,926.64,6149.6001,7.712,68.25,15.65
2006-12-01,64.74,5254.0498,4190.1401,913.56,6021.5,8.422,67.0,6.7
2006-12-01,64.74,5254.0498,4190.1401,913.56,6021.5,8.422,67.0,28.85
2006-12-01,64.74,5254.0498,4190.1401,913.56,6021.5,8.422,67.0,16.25
2006-12-01,64.74,5254.0498,4190.1401,913.56,6021.5,8.422,67.0,23.05
2006-12-01,64.74,5254.0498,4190.1401,913.56,6021.5,8.422,67.0,9.05
2006-12-01,64.74,5254.0498,4190.1401,913.56,6021.5,8.422,67.0,14.7
2006-12-01,64.74,5254.0498,4190.1401,913.56,6021.5,8.422,67.0,12.45
2006-12-01,64.74,5254.0498,4190.1401,913.56,6021.5,8.422,67.0,16.25
2007-02-01,56.74,5662.25,4588.9199,983.88,6282.2002,7.53,68.0,0.09
2007-02-01,56.74,5662.25,4588.9199,983.88,6282.2002,7.53,68.0,0.54
2007-02-01,56.74,5662.25,4588.9199,983.88,6282.2002,7.53,68.0,0.98
2007-02-01,56.74,5662.25,4588.9199,983.88,6282.2002,7.53,68.0,0.08
2007-02-01,56.74,5662.25,4588.9199,983.88,6282.2002,7.53,68.0,1.05
2007-02-01,56.74,5662.25,4588.9199,983.88,6282.2002,7.53,68.0,0.13
2007-02-01,56.74,5662.25,4588.9199,983.88,6282.2002,7.53,68.0,5.3
2007-02-01,56.74,5662.25,4588.9199,983.88,6282.2002,7.53,68.0,0.08
2007-02-01,56.74,5662.25,4588.9199,983.88,6282.2002,7.53,68.0,1.95
2007-03-01,61.18,5458.3999,4447.7998,950.13,6116.0,7.288,69.5,4.8
2007-03-01,61.18,5458.3999,4447.7998,950.13,6116.0,7.288,69.5,0.52
2007-03-01,61.18,5458.3999,4447.7998,950.13,6116.0,7.288,69.5,0.85
2007-03-01,61.18,5458.3999,4447.7998,950.13,6116.0,7.288,69.5,0.09
2007-03-01,61.18,5458.3999,4447.7998,950.13,6116.0,7.288,69.5,0.03
2007-03-01,61.18,5458.3999,4447.7998,950.13,6116.0,7.288,69.5,0.1
2007-03-01,61.18,5458.3999,4447.7998,950.13,6116.0,7.288,69.5,0.12
2007-03-01,61.18,5458.3999,4447.7998,950.13,6116.0,7.288,69.5,0.07
2007-06-01,68.65,6168.1499,5224.6802,1076.12,6676.7002,7.878,74.4,0.1
2007-06-01,68.65,6168.1499,5224.6802,1076.12,6676.7002,7.878,74.4,0.13
2007-06-01,68.65,6168.1499,5224.6802,1076.12,6676.7002,7.878,74.4,0.07
2007-06-01,68.65,6168.1499,5224.6802,1076.12,6676.7002,7.878,74.4,0.03
2007-06-01,68.65,6168.1499,5224.6802,1076.12,6676.7002,7.878,74.4,0.09
2007-06-01,68.65,6168.1499,5224.6802,1076.12,6676.7002,7.878,74.4,0.28
2007-06-01,68.65,6168.1499,5224.6802,1076.12,6676.7002,7.878,74.4,1.45
2007-06-01,68.65,6168.1499,5224.6802,1076.12,6676.7002,7.878,74.4,1.0
2007-08-01,77.11,5654.2998,4889.0601,1002.15,6250.6001,6.352,82.25,1.1
2007-08-01,77.11,5654.2998,4889.0601,1002.15,6250.6001,6.352,82.25,0.26
2007-08-01,77.11,5654.2998,4889.0601,1002.15,6250.6001,6.352,82.25,0.1
2007-08-01,77.11,5654.2998,4889.0601,1002.15,6250.6001,6.352,82.25,0.11
2007-08-01,77.11,5654.2998,4889.0601,1002.15,6250.6001,6.352,82.25,1.45
2007-08-01,77.11,5654.2998,4889.0601,1002.15,6250.6001,6.352,82.25,0.07
2007-08-01,77.11,5654.2998,4889.0601,1002.15,6250.6001,6.352,82.25,3.85
2007-08-01,77.11,5654.2998,4889.0601,1002.15,6250.6001,6.352,82.25,0.45
2007-10-01,78.33,5773.2598,5182.4502,1024.38,6506.2002,7.05,102.7,0.09
2007-10-01,78.33,5773.2598,5182.4502,1024.38,6506.2002,7.05,102.7,3.7
2007-10-01,78.33,5773.2598,5182.4502,1024.38,6506.2002,7.05,102.7,0.29
2007-10-01,78.33,5773.2598,5182.4502,1024.38,6506.2002,7.05,102.7,0.78
2007-10-01,78.33,5773.2598,5182.4502,1024.38,6506.2002,7.05,102.7,0.14
2007-10-01,78.33,5773.2598,5182.4502,1024.38,6506.2002,7.05,102.7,0.1
2007-10-01,78.33,5773.2598,5182.4502,1024.38,6506.2002,7.05,102.7,0.07
2007-10-01,78.33,5773.2598,5182.4502,1024.38,6506.2002,7.05,102.7,0.03
2007-11-01,90.36,5730.9199,5155.25,1027.41,6586.1001,8.637,127.5,0.03
2007-11-01,90.36,5730.9199,5155.25,1027.41,6586.1001,8.637,127.5,0.31
2007-11-01,90.36,5730.9199,5155.25,1027.41,6586.1001,8.637,127.5,3.9
2007-11-01,90.36,5730.9199,5155.25,1027.41,6586.1001,8.637,127.5,0.24
2007-11-01,90.36,5730.9199,5155.25,1027.41,6586.1001,8.637,127.5,0.07
2007-11-01,90.36,5730.9199,5155.25,1027.41,6586.1001,8.637,127.5,0.14
2007-11-01,90.36,5730.9199,5155.25,1027.41,6586.1001,8.637,127.5,0.74
2007-11-01,90.36,5730.9199,5155.25,1027.41,6586.1001,8.637,127.5,0.08
2008-02-01,91.41,4978.06,4546.8799,882.1,6029.2,7.74,140.0,23.42
2008-02-01,91.41,4978.06,4546.8799,882.1,6029.2,7.74,140.0,26.34
2008-02-01,91.41,4978.06,4546.8799,882.1,6029.2,7.74,140.0,23.14
2008-02-01,91.41,4978.06,4546.8799,882.1,6029.2,7.74,140.0,0.02
2008-02-01,91.41,4978.06,4546.8799,882.1,6029.2,7.74,140.0,15.36
2008-02-01,91.41,4978.06,4546.8799,882.1,6029.2,7.74,140.0,24.5
2008-02-01,91.41,4978.06,4546.8799,882.1,6029.2,7.74,140.0,24.72
2008-02-01,91.41,4978.06,4546.8799,882.1,6029.2,7.74,140.0,27.99
2008-04-01,98.69,4866.0,4384.5898,860.61,5852.6,9.724,125.5,23.31
2008-04-01,98.69,4866.0,4384.5898,860.61,5852.6,9.724,125.5,24.65
2008-04-01,98.69,4866.0,4384.5898,860.61,5852.6,9.724,125.5,14.82
2008-04-01,98.69,4866.0,4384.5898,860.61,5852.6,9.724,125.5,27.64
2008-04-01,98.69,4866.0,4384.5898,860.61,5852.6,9.724,125.5,0.01
2008-04-01,98.69,4866.0,4384.5898,860.61,5852.6,9.724,125.5,0.02
2008-04-01,98.69,4866.0,4384.5898,860.61,5852.6,9.724,125.5,21.21
2008-04-01,98.69,4866.0,4384.5898,860.61,5852.6,9.724,125.5,0.02
2008-04-01,98.69,4866.0,4384.5898,860.61,5852.6,9.724,125.5,18.94
2008-04-01,98.69,4866.0,4384.5898,860.61,5852.6,9.724,125.5,26.6
2008-07-01,140.67,4341.21,3993.72,765.58,5479.9,13.505,224.0,23.82
2008-07-01,140.67,4341.21,3993.72,765.58,5479.9,13.505,224.0,0.01
2008-07-01,140.67,4341.21,3993.72,765.58,5479.9,13.505,224.0,25.03
2008-07-01,140.67,4341.21,3993.72,765.58,5479.9,13.505,224.0,27.51
2008-07-01,140.67,4341.21,3993.72,765.58,5479.9,13.505,224.0,18.69
2008-07-01,140.67,4341.21,3993.72,765.58,5479.9,13.505,224.0,0.02
2008-07-01,140.67,4341.21,3993.72,765.58,5479.9,13.505,224.0,22.82
2008-07-01,140.67,4341.21,3993.72,765.58,5479.9,13.505,224.0,22.25
2008-07-01,140.67,4341.21,3993.72,765.58,5479.9,13.505,224.0,0.02
2008-08-01,124.16,4314.34,4044.6299,747.14,5354.7,9.389,191.0,21.81
2008-08-01,124.16,4314.34,4044.6299,747.14,5354.7,9.389,191.0,22.61
2008-08-01,124.16,4314.34,4044.6299,747.14,5354.7,9.389,191.0,24.19
2008-08-01,124.16,4314.34,4044.6299,747.14,5354.7,9.389,191.0,14.45
2008-08-01,124.16,4314.34,4044.6299,747.14,5354.7,9.389,191.0,0.02
2008-08-01,124.16,4314.34,4044.6299,747.14,5354.7,9.389,191.0,23.51
2008-08-01,124.16,4314.34,4044.6299,747.14,5354.7,9.389,191.0,25.79
2008-08-01,124.16,4314.34,4044.6299,747.14,5354.7,9.389,191.0,0.02
2008-08-01,124.16,4314.34,4044.6299,747.14,5354.7,9.389,191.0,24.91
2008-10-01,92.19,4054.54,3671.48,695.12,4959.6,7.728,149.15,26.68
2008-10-01,92.19,4054.54,3671.48,695.12,4959.6,7.728,149.15,22.04
2008-10-01,92.19,4054.54,3671.48,695.12,4959.6,7.728,149.15,24.44
2008-10-01,92.19,4054.54,3671.48,695.12,4959.6,7.728,149.15,0.02
2008-10-01,92.19,4054.54,3671.48,695.12,4959.6,7.728,149.15,18.51
2008-10-01,92.19,4054.54,3671.48,695.12,4959.6,7.728,149.15,22.77
2008-10-01,92.19,4054.54,3671.48,695.12,4959.6,7.728,149.15,27.2
2008-10-01,92.19,4054.54,3671.48,695.12,4959.6,7.728,149.15,14.37
2008-10-01,92.19,4054.54,3671.48,695.12,4959.6,7.728,149.15,0.01
2008-12-01,47.58,3080.43,2778.9299,521.62,4065.5,6.604,79.0,25.39
2008-12-01,47.58,3080.43,2778.9299,521.62,4065.5,6.604,79.0,23.9
2008-12-01,47.58,3080.43,2778.9299,521.62,4065.5,6.604,79.0,17.95
2008-12-01,47.58,3080.43,2778.9299,521.62,4065.5,6.604,79.0,0.01
2008-12-01,47.58,3080.43,2778.9299,521.62,4065.5,6.604,79.0,27.16
2008-12-01,47.58,3080.43,2778.9299,521.62,4065.5,6.604,79.0,23.31
2008-12-01,47.58,3080.43,2778.9299,521.62,4065.5,6.604,79.0,14.88
2008-12-01,47.58,3080.43,2778.9299,521.62,4065.5,6.604,79.0,0.02
2009-04-01,45.92,2839.61,2600.1299,483.79,3955.6,3.695,64.4,14.51
2009-04-01,45.92,2839.61,2600.1299,483.79,3955.6,3.695,64.4,14.01
2009-04-01,45.92,2839.61,2600.1299,483.79,3955.6,3.695,64.4,14.12
2009-04-01,45.92,2839.61,2600.1299,483.79,3955.6,3.695,64.4,14.36
2009-04-01,45.92,2839.61,2600.1299,483.79,3955.6,3.695,64.4,11.47
2009-04-01,45.92,2839.61,2600.1299,483.79,3955.6,3.695,64.4,15.18
2009-04-01,45.92,2839.61,2600.1299,483.79,3955.6,3.695,64.4,10.18
2009-04-01,45.92,2839.61,2600.1299,483.79,3955.6,3.695,64.4,14.54
2009-06-01,66.6,3379.49,3111.8501,575.94,4506.2,4.249,70.0,13.97
2009-06-01,66.6,3379.49,3111.8501,575.94,4506.2,4.249,70.0,12.98
2009-06-01,66.6,3379.49,3111.8501,575.94,4506.2,4.249,70.0,12.38
2009-06-01,66.6,3379.49,3111.8501,575.94,4506.2,4.249,70.0,14.3
2009-06-01,66.6,3379.49,3111.8501,575.94,4506.2,4.249,70.0,15.27
2009-06-01,66.6,3379.49,3111.8501,575.94,4506.2,4.249,70.0,13.73
2009-06-01,66.6,3379.49,3111.8501,575.94,4506.2,4.249,70.0,10.65
2009-06-01,66.6,3379.49,3111.8501,575.94,4506.2,4.249,70.0,14.27
2009-06-01,66.6,3379.49,3111.8501,575.94,4506.2,4.249,70.0,9.87
2009-07-01,68.52,3217.0,2967.6101,554.33,4340.7,3.795,63.6,15.02
2009-07-01,68.52,3217.0,2967.6101,554.33,4340.7,3.795,63.6,12.12
2009-07-01,68.52,3217.0,2967.6101,554.33,4340.7,3.795,63.6,13.61
2009-07-01,68.52,3217.0,2967.6101,554.33,4340.7,3.795,63.6,14.58
2009-07-01,68.52,3217.0,2967.6101,554.33,4340.7,3.795,63.6,15.29
2009-07-01,68.52,3217.0,2967.6101,554.33,4340.7,3.795,63.6,14.26
2009-07-01,68.52,3217.0,2967.6101,554.33,4340.7,3.795,63.6,14.76
2009-07-01,68.52,3217.0,2967.6101,554.33,4340.7,3.795,63.6,13.1
2009-09-01,68.78,3583.44,3222.8101,618.28,4819.7,2.821,68.25,14.01
2009-09-01,68.78,3583.44,3222.8101,618.28,4819.7,2.821,68.25,13.87
2009-09-01,68.78,3583.44,3222.8101,618.28,4819.7,2.821,68.25,14.17
2009-09-01,68.78,3583.44,3222.8101,618.28,4819.7,2.821,68.25,9.91
2009-09-01,68.78,3583.44,3222.8101,618.28,4819.7,2.821,68.25,13.78
2009-09-01,68.78,3583.44,3222.8101,618.28,4819.7,2.821,68.25,15.12
2009-09-01,68.78,3583.44,3222.8101,618.28,4819.7,2.821,68.25,13.06
2009-09-01,68.78,3583.44,3222.8101,618.28,4819.7,2.821,68.25,12.99
2009-09-01,68.78,3583.44,3222.8101,618.28,4819.7,2.821,68.25,11.49
2009-09-01,68.78,3583.44,3222.8101,618.28,4819.7,2.821,68.25,13.73
2009-10-01,67.12,3720.77,3360.29,647.88,5047.8,4.466,71.2,15.05
2009-10-01,67.12,3720.77,3360.29,647.88,5047.8,4.466,71.2,9.17
2009-10-01,67.12,3720.77,3360.29,647.88,5047.8,4.466,71.2,14.17
2009-10-01,67.12,3720.77,3360.29,647.88,5047.8,4.466,71.2,13.12
2009-10-01,67.12,3720.77,3360.29,647.88,5047.8,4.466,71.2,14.13
2009-10-01,67.12,3720.77,3360.29,647.88,5047.8,4.466,71.2,11.78
2009-10-01,67.12,3720.77,3360.29,647.88,5047.8,4.466,71.2,13.72
2009-10-01,67.12,3720.77,3360.29,647.88,5047.8,4.466,71.2,13.93
2009-12-01,78.68,3775.74,3494.6299,656.42,5312.2,4.762,77.5,14.87
2009-12-01,78.68,3775.74,3494.6299,656.42,5312.2,4.762,77.5,14.29
2009-12-01,78.68,3775.74,3494.6299,656.42,5312.2,4.762,77.5,11.6
