code,date,open,high,low,close,volume,open interest
CKZ08,01/02/2008,19.05,19.5,18.95,19.22,2851,152041
CKZ08,04/02/2008,19.15,19.55,19.05,19.19,1618,152305
CKZ08,05/02/2008,19.1,19.3,18.76,18.84,2613,152797
CKZ08,06/02/2008,18.85,20.2,18.85,19.97,4165,149241
CKZ08,07/02/2008,19.6,20.5,19.6,20.44,3210,149985
CKZ08,08/02/2008,20.55,21,20.2,20.39,2223,146869
CKZ08,11/02/2008,20.8,20.96,19.9,20.16,2542,148210
CKZ08,12/02/2008,20.3,20.3,19.72,19.97,1855,147025
CKZ08,13/02/2008,19.66,19.96,19.61,19.93,1583,147366
CKZ08,14/02/2008,20,20.82,19.85,20.72,2620,148687
CKZ08,15/02/2008,20.8,21.1,20.61,20.87,3168,147836
CKZ08,18/02/2008,20.89,21.04,20.68,20.93,1747,147497
CKZ08,19/02/2008,20.9,21.75,20.7,21.64,4172,148207
CKZ08,20/02/2008,21.95,22.04,21.33,21.5,2217,148695
CKZ08,21/02/2008,21.9,22.1,21.57,21.7,2783,149980
CKZ08,22/02/2008,21.4,21.67,21.31,21.48,2314,150407
CKZ08,25/02/2008,21.9,21.9,21.48,21.59,1458,146218
CKZ08,26/02/2008,21.47,21.57,21.05,21.35,1780,147696
CKZ08,27/02/2008,21.65,21.76,21.15,21.26,1839,148502
CKZ08,28/02/2008,21.03,21.38,20.88,21.16,2189,147917
CKZ08,29/02/2008,21.71,21.79,21.21,21.31,1785,147119
CKZ08,03/03/2008,21.55,21.55,20.62,20.88,1683,146628
CKZ08,04/03/2008,20.55,20.84,20.35,20.67,2141,147271
CKZ08,05/03/2008,20.5,21.46,20.3,21.24,2543,147812
CKZ08,06/03/2008,21.5,21.58,21.14,21.35,1853,147967
CKZ08,07/03/2008,21.42,21.58,21.2,21.38,1133,149839
CKZ08,10/03/2008,21.26,21.72,21.25,21.66,1468,149642
CKZ08,11/03/2008,21.66,21.99,21.65,21.86,1191,148316
CKZ08,12/03/2008,21.99,22.3,21.8,21.95,1024,148142
CKZ08,13/03/2008,22.27,22.69,22.26,22.55,1607,147937
CKZ08,14/03/2008,22.55,22.61,22.02,22.21,1770,150613
CKZ08,17/03/2008,22.2,22.29,21.26,21.43,2284,151205
CKZ08,18/03/2008,21.15,21.72,20.9,21.66,3794,151150
CKZ08,19/03/2008,21.79,22.2,21.36,21.56,3500,150480
CKZ08,20/03/2008,21.17,22.1,21.05,21.97,3500,150383
CKZ08,25/03/2008,21.77,22.68,21.77,22.54,3795,149174
CKZ08,26/03/2008,22.6,22.79,22.25,22.51,2986,149889
CKZ08,27/03/2008,22.55,22.65,22.05,22.26,2048,151735
CKZ08,28/03/2008,22.11,22.15,21.68,21.76,2208,151984
CKZ08,31/03/2008,21.72,22.39,21.56,22.27,2991,151578
CKZ08,01/04/2008,21.9,22.66,21.8,22.52,1919,153355
CKZ08,02/04/2008,22.21,23.57,22.21,23.42,4868,155544
CKZ08,03/04/2008,23.3,24.05,23.21,23.47,2976,158048
CKZ08,04/04/2008,23.6,23.6,22.97,23.31,1441,155015
CKZ08,07/04/2008,23.18,23.9,23.18,23.82,2192,155130
CKZ08,08/04/2008,23.95,24.05,23.46,23.51,3037,153996
CKZ08,09/04/2008,23.4,23.75,23.31,23.69,1584,154525
CKZ08,10/04/2008,23.87,24.62,23.71,24.44,4266,154446
CKZ08,11/04/2008,24.45,24.6,24.25,24.38,1447,155675
CKZ08,14/04/2008,24.25,25.05,24.18,25,3207,155393
CKZ08,15/04/2008,25.2,25.38,24.84,25.14,3035,156623
CKZ08,16/04/2008,24.91,25.12,24.45,24.8,2923,155745
CKZ08,17/04/2008,24.7,24.85,24.46,24.69,1959,154906
CKZ08,18/04/2008,24.6,24.6,24.25,24.51,1006,156040
CKZ08,21/04/2008,24.6,25.5,24.59,25.23,2908,159947
CKZ08,22/04/2008,25.38,25.67,25.27,25.34,2136,160964
CKZ08,23/04/2008,25.32,25.32,24.8,25,3120,161998
CKZ08,24/04/2008,25.1,25.29,24.36,24.51,2508,162726
CKZ08,25/04/2008,24.29,24.8,24.2,24.74,2500,164062
CKZ08,28/04/2008,24.93,25.05,24.45,24.63,1867,164701
CKZ08,29/04/2008,24.35,24.45,23.9,24.19,2741,165214
CKZ08,30/04/2008,24,24.2,23.7,23.88,2708,165721
CKZ08,01/05/2008,23.71,23.98,23.52,23.56,464,166295
CKZ08,02/05/2008,23.64,24.7,23.6,24.5,464,166322
CKZ08,06/05/2008,25.1,25.4,25.05,25.31,1935,167854
CKZ08,07/05/2008,25.45,25.45,24.85,25.03,1455,168918
CKZ08,08/05/2008,25.25,25.3,24.8,24.91,932,169087
CKZ08,09/05/2008,25.02,25.28,24.97,25.17,833,169600
CKZ08,12/05/2008,25.3,25.8,25.3,25.39,1246,169471
CKZ08,13/05/2008,25.2,25.4,24.93,25.04,2211,170849
CKZ08,14/05/2008,25.1,25.16,24.35,24.46,3103,170311
CKZ08,15/05/2008,24.35,25.45,24.35,24.68,1378,171484
CKZ08,16/05/2008,24.7,24.95,24.6,24.89,2290,171017
CKZ08,19/05/2008,24.99,25.4,24.99,25.31,2181,171484
CKZ08,20/05/2008,25.3,25.44,25.05,25.36,2835,171963
CKZ08,21/05/2008,25.74,25.79,25.4,25.73,2798,172750
CKZ08,22/05/2008,26,26.55,25.91,26.06,3745,172394
CKZ08,23/05/2008,26.1,26.27,25.81,26.11,1652,173441
CKZ08,26/05/2008,26.01,26.5,26.01,26.38,6521,172821
CKZ08,27/05/2008,26.4,26.68,26.22,26.34,2540,173623
CKZ08,28/05/2008,26.08,26.37,25.92,26.19,3266,174416
CKZ08,29/05/2008,26.4,26.85,26.17,26.59,2922,174586
CKZ08,30/05/2008,26.13,26.18,25.86,26.1,3081,174678
CKZ08,02/06/2008,26.1,26.5,25.89,26.34,3935,175834
