date,close
"22,04,2005",16.85
"25,04,2005",17.45
"26,04,2005",17.15
"27,04,2005",16.35
"28,04,2005",15.95
"29,04,2005",16.4
"03,05,2005",16.1
"04,05,2005",16.1
"05,05,2005",16.5
"06,05,2005",16.5
"09,05,2005",16.85
"10,05,2005",16.95
"11,05,2005",16.75
"12,05,2005",16.35
"13,05,2005",16.65
"16,05,2005",16.75
"17,05,2005",17.05
"18,05,2005",17.3
"19,05,2005",17.8
"20,05,2005",18.55
"23,05,2005",18.3
"24,05,2005",18.95
"25,05,2005",19.75
"26,05,2005",19.6
"27,05,2005",19.45
"31,05,2005",19.65
"01,06,2005",19.45
"02,06,2005",19.2
"03,06,2005",18.85
"06,06,2005",19.05
"07,06,2005",19.4
"08,06,2005",19.55
"09,06,2005",19.5
"10,06,2005",19.5
"13,06,2005",19.6
"14,06,2005",19.65
"15,06,2005",19.85
"16,06,2005",20.35
"17,06,2005",21.2
"20,06,2005",22.7
"21,06,2005",22.7
"22,06,2005",22.8
"23,06,2005",23.05
"24,06,2005",23.6
"27,06,2005",23.55
"28,06,2005",24.2
"29,06,2005",25
"30,06,2005",25.3
"01,07,2005",26.5
"04,07,2005",28.85
"05,07,2005",28.25
"06,07,2005",28.7
"07,07,2005",28.8
"08,07,2005",29.1
"11,07,2005",29.1
"12,07,2005",28.95
"13,07,2005",27.35
"14,07,2005",23.45
"15,07,2005",24.2
"18,07,2005",24.1
"19,07,2005",23.95
"20,07,2005",20.65
"21,07,2005",19.9
"22,07,2005",19.6
"25,07,2005",19.95
"26,07,2005",20.4
"27,07,2005",21.65
"28,07,2005",21.65
"29,07,2005",21.9
"01,08,2005",21
"02,08,2005",20.25
"03,08,2005",20.2
"04,08,2005",20.05
"05,08,2005",20.8
"08,08,2005",21.45
"09,08,2005",22.05
"10,08,2005",22
"11,08,2005",22.25
"12,08,2005",22.4
"15,08,2005",22
"16,08,2005",22
"17,08,2005",22.45
"18,08,2005",22.35
"19,08,2005",22.45
"22,08,2005",22.65
"23,08,2005",22.65
"24,08,2005",22.8
"25,08,2005",23.1
"26,08,2005",23.2
"30,08,2005",23.35
"31,08,2005",23.65
"01,09,2005",24.15
"02,09,2005",24.45
"05,09,2005",24.4
"06,09,2005",24.35
"07,09,2005",24.4
"08,09,2005",24.1
"09,09,2005",23.5
"12,09,2005",22.1
"13,09,2005",21.6
"14,09,2005",22.25
"15,09,2005",22.55
"16,09,2005",21.95
"19,09,2005",22.35
"20,09,2005",21.95
"21,09,2005",21.9
"22,09,2005",22.15
"23,09,2005",21.9
"26,09,2005",21.45
"27,09,2005",22
"28,09,2005",22.7
"29,09,2005",22.8
"30,09,2005",22.65
"03,10,2005",22.7
"04,10,2005",23.25
"05,10,2005",23.9
"06,10,2005",23.7
"07,10,2005",23.1
"10,10,2005",23.15
"11,10,2005",23.15
"12,10,2005",23.5
"13,10,2005",23.5
"14,10,2005",23
"17,10,2005",23.1
"18,10,2005",22.8
"19,10,2005",22.4
"20,10,2005",22.1
"21,10,2005",21.8
"24,10,2005",21.4
"25,10,2005",21.45
"26,10,2005",21.7
"27,10,2005",21.85
"28,10,2005",22.05
"31,10,2005",21.95
"01,11,2005",21.75
"02,11,2005",21.35
"03,11,2005",21.25
"04,11,2005",21.35
"07,11,2005",21.6
"08,11,2005",22.05
"09,11,2005",22.5
"10,11,2005",22.7
"11,11,2005",22.7
"14,11,2005",23.15
"15,11,2005",22.85
"16,11,2005",22.7
"17,11,2005",22.45
"18,11,2005",21.55
"21,11,2005",21.4
"22,11,2005",22.05
"23,11,2005",21.45
"24,11,2005",19.75
"25,11,2005",20.1
"28,11,2005",20.15
"29,11,2005",19.5
"30,11,2005",19.6
"01,12,2005",20
"02,12,2005",21.15
