code,date,open,high,low,close,volume,open interest
NGG00,2000-01-04,2.18,2.2,2.13,2.176,62354,239526
NGG00,2000-01-05,2.168,2.2,2.125,2.168,57115,253834
NGG00,2000-01-06,2.165,2.22,2.135,2.196,40847,257933
NGG00,2000-01-07,2.195,2.23,2.155,2.173,47111,260032
NGG00,2000-01-10,2.195,2.255,2.155,2.216,32736,262343
NGG00,2000-01-11,2.211,2.265,2.205,2.26,39378,265456
NGG00,2000-01-12,2.267,2.285,2.19,2.244,61692,264664
NGG00,2000-01-13,2.245,2.29,2.235,2.252,45578,261234
NGG00,2000-01-14,2.322,2.35,2.25,2.322,45492,208434
NGG00,2000-01-18,2.39,2.4,2.335,2.383,43697,258525
NGG00,2000-01-19,2.417,2.465,2.37,2.417,82819,270632
NGG00,2000-01-20,2.4,2.58,2.383,2.559,106444,271906
NGH00,2000-01-21,2.575,2.65,2.42,2.47,132261,276509
NGH00,2000-01-24,2.575,2.59,2.48,2.51,73631,272934
NGH00,2000-01-25,2.52,2.595,2.51,2.583,64815,275109
NGH00,2000-01-26,2.585,2.62,2.468,2.491,110425,244007
NGH00,2000-01-27,2.54,2.61,2.467,2.54,127788,230667
NGH00,2000-01-28,2.55,2.66,2.5,2.532,87229,231432
NGH00,2000-01-31,2.67,2.7,2.565,2.662,59219,212123
NGH00,2000-02-01,2.699,2.745,2.63,2.699,74850,206824
NGH00,2000-02-02,2.69,2.78,2.671,2.759,71544,167276
NGH00,2000-02-03,2.76,2.77,2.63,2.659,97650,265115
NGH00,2000-02-04,2.645,2.75,2.62,2.742,63371,270026
NGH00,2000-02-07,2.71,2.715,2.542,2.562,47075,262093
NGH00,2000-02-08,2.495,2.577,2.475,2.495,130141,260867
NGH00,2000-02-09,2.5,2.565,2.495,2.54,47095,257907
NGH00,2000-02-10,2.595,2.635,2.525,2.592,78746,260109
NGH00,2000-02-11,2.57,2.665,2.56,2.57,81647,262645
NGH00,2000-02-14,2.595,2.635,2.515,2.541,25132,251134
NGH00,2000-02-15,2.55,2.625,2.525,2.618,57917,267720
NGH00,2000-02-16,2.63,2.648,2.555,2.564,61749,268691
NGH00,2000-02-17,2.58,2.675,2.577,2.667,72755,276696
NGH00,2000-02-18,2.67,2.68,2.595,2.633,50542,276721
NGJ00,2000-02-22,2.58,2.59,2.515,2.544,83862,271734
NGJ00,2000-02-23,2.545,2.555,2.495,2.54,73748,277421
NGJ00,2000-02-24,2.55,2.56,2.52,2.556,95284,273147
NGJ00,2000-02-25,2.556,2.645,2.54,2.617,117869,259714
NGJ00,2000-02-28,2.59,2.72,2.585,2.686,68643,257064
NGJ00,2000-02-29,2.69,2.77,2.66,2.761,62377,264381
NGJ00,2000-03-01,2.815,2.85,2.725,2.815,57265,268906
NGJ00,2000-03-02,2.783,2.865,2.75,2.783,74606,273445
