code,date,open,high,low,close,volume,open interest
LUQ06,2006-08-18,70,70,70,70,0,80
LUU06,2006-08-21,69,69,69,69,0,80
LUU06,2006-08-22,69.5,69.5,69.5,69.5,0,75
LUU06,2006-08-23,69,69,69,69,0,75
LUU06,2006-08-24,69.5,69.5,69.5,69.5,0,80
LUU06,2006-08-25,70,70,70,70,0,60
LUU06,2006-08-28,70,70,70,70,0,75
LUU06,2006-08-29,69.1,69.1,69.1,69.1,0,75
LUU06,2006-08-30,67.9,67.9,67.9,67.9,0,75
LUU06,2006-08-31,68.45,68.45,68.45,68.45,0,75
LUU06,2006-09-01,67.5,67.5,67.5,67.5,0,75
LUU06,2006-09-04,67.25,67.25,67.25,67.25,0,75
LUU06,2006-09-05,67,67,67,67,0,75
LUU06,2006-09-06,67.2,67.2,67.2,67.2,0,75
LUU06,2006-09-07,66.95,66.95,66.95,66.95,0,90
LUU06,2006-09-08,65.6,65.6,65.6,65.6,0,90
LUU06,2006-09-11,64.5,64.5,64.5,64.5,0,90
LUU06,2006-09-12,64.75,64.75,64.75,64.75,0,90
LUU06,2006-09-13,65,65,65,65,0,90
LUU06,2006-09-14,65.15,65.15,65.15,65.15,0,90
LUU06,2006-09-15,65.25,65.25,65.25,65.25,0,90
LUU06,2006-09-18,65,65,65,65,0,100
LUU06,2006-09-19,65.1,65.1,65.1,65.1,0,110
LUU06,2006-09-20,65,65,65,65,0,110
LUU06,2006-09-21,65.25,65.25,65.25,65.25,0,110
LUU06,2006-09-22,65.05,65.05,65.05,65.05,0,110
LUV06,2006-09-25,62.85,62.85,62.85,62.85,0,110
LUV06,2006-09-26,63.1,63.1,63.1,63.1,0,120
LUV06,2006-09-27,63.95,63.95,63.95,63.95,0,120
LUV06,2006-09-28,65.85,65.85,65.85,65.85,0,120
LUV06,2006-09-29,66.75,66.75,66.75,66.75,0,115
LUV06,2006-10-02,65,65,65,65,0,150
LUV06,2006-10-03,63.7,63.7,63.7,63.7,0,150
LUV06,2006-10-04,63.7,63.7,63.7,63.7,0,180
LUV06,2006-10-05,63.5,63.5,63.5,63.5,0,180
LUV06,2006-10-06,63.85,63.85,63.85,63.85,0,195
LUV06,2006-10-09,64.4,64.4,64.4,64.4,0,195
LUV06,2006-10-10,64.95,64.95,64.95,64.95,10,195
LUV06,2006-10-11,64.75,64.75,64.75,64.75,0,205
LUV06,2006-10-12,65.3,65.3,65.3,65.3,0,205
LUV06,2006-10-13,65.3,65.3,65.3,65.3,0,205
LUV06,2006-10-16,65.3,65.3,65.3,65.3,0,205
LUV06,2006-10-17,66.25,66.25,66.25,66.25,0,220
LUV06,2006-10-18,66.15,66.15,66.15,66.15,0,220
LUV06,2006-10-19,66.5,66.5,66.5,66.5,0,220
LUV06,2006-10-20,66.5,66.5,66.5,66.5,0,220
LUX06,2006-10-23,67.2,67.2,67.2,67.2,0,220
LUX06,2006-10-24,67.7,67.7,67.7,67.7,0,220
LUX06,2006-10-25,67,67,67,67,0,220
LUX06,2006-10-26,67.5,67.5,67.5,67.5,0,220
LUX06,2006-10-27,68.55,68.55,68.55,68.55,0,205
LUX06,2006-10-30,68.55,68.55,68.55,68.55,0,220
LUX06,2006-10-31,67.75,67.75,67.75,67.75,0,220
LUX06,2006-11-01,68.25,68.25,68.25,68.25,0,220
